"","Name_of_Beer","Color","Illustration","Shape","Bitter","High_Grade","Ambience"
"1","Mack","4","1","1",3.25,2.75,3.88
"2","Koff Red","6","5","3",3.63,3.88,3.75
"3","Olvi","5","6","3",4.5,3.63,3.38
"4","Coors Light","2","5","3",3.13,3.63,3.25
"5","Stroh’s NA","3","5","3",4,4.25,3.75
"6","Carlsberg","1","5","3",2.38,2.75,3.38
"7","Texas Select","1","4","3",3,3.25,3.25
"8","Cass White","1","5","3",2.25,2.38,2.25
"9","Schlitz Blue Ox","2","1","3",4.13,3.38,3.25
"10","Saku","4","5","1",3.38,4.5,4.25
"11","Murphy's","8","5","2",4.13,3.25,2.75
"12","Tiger","4","5","1",3.75,3.63,3.5
"13","Newquay","4","6","2",3.5,3.75,4.13
"14","Miller","1","2","3",3,3.5,3.38
"15","Swan Light","1","2","1",3.25,2.5,2.63
"16","Carlsberg Special","1","6","3",2.5,3,3
"17","Belgian Gold","3","4","3",2.5,3.88,3.5
"18","Bass Pale Ale","5","5","1",4.38,2.5,2.75
"19","Barhu","5","1","3",3.88,2.5,2.5
"20","Brahma","3","4","3",3.75,3.75,3.13
"21","Michelob Golden","3","5","1",4.13,4,3.63
"22","Staropramen","8","4","3",2,3.88,4
"23","Lowenbrau White","8","5","3",2.38,4,4.25
"24","Piel’s Red","1","5","3",2.25,3.63,3.5
"25","Malibu","2","6","3",3.13,1.88,2.88
"26","Whitbread Pale Ale","4","5","1",4,3.38,3.13
"27","Cass Blue","4","7","3",3.38,2.63,2.88
"28","Kaisordom","1","5","1",2.88,4.25,4
"29","Pig’s Eye","3","3","3",4.38,2.38,2.88
"30","Heineken","7","5","1",3.63,3.25,3.13
"31","Cobra","5","1","3",4.5,1.88,1.88
"32","Dressler","2","5","3",2.63,1.75,2.13
"33","Red Wolf","6","1","1",4.38,3.63,3.63
"34","Old Milwaukee","6","5","3",2.75,4.38,3.5
"35","Labatt Blue","4","7","3",2.38,2.75,3.5
"36","West End","3","7","3",3.63,2.75,3.5
"37","Clausthaller","1","5","3",2.63,4.13,4.13
"38","Buckler","1","5","1",2.5,2.75,3.25
"39","Young’s London Lager","10","1","3",2,2,2.13
"40","Royal Dutch","7","5","1",3.13,3.63,2.75
"41","Red Bull","5","1","3",4.75,2,2.25
"42","Lapin Kulta","4","7","3",3.25,3.5,3.63
"43","Karjala","6","5","1",3.5,4.38,4
"44","Belgium Brown","6","4","3",4,3.63,4
"45","Old Milwaukee NA","6","5","3",3.25,4,3.63
"46","Heineken Dark","6","5","1",4.25,3.88,3.63
"47","Tuborg","7","5","1",4.25,4.75,4.38
"48","Hite","8","7","3",2.88,2,1.75
"49","Budweiser","1","5","3",2.88,3.63,3.25
"50","Schaefer Light","2","4","1",3.63,2.38,3.13
"51","Bewry","1","5","3",3,3.38,3.13
"52","Koff Black","5","5","3",4.38,4.13,4.13
"53","Lowenbrau Blue","9","5","3",2.25,2.63,2.75
"54","Miller Lite","6","2","3",3.25,3,3.25
"55","Stroh’s Deep","6","5","3",3.75,4.38,4
"56","Coors Gold","3","5","3",3.13,4.13,3.38
